id	name	population	listed	female	male
DZA	Algeria	Data not available		Data not available	Data not available
DOM	Dominican Republic	Data not available		Data not available	Data not available
DOM	Dominica	Data not available		Data not available	Data not available
DNK	Denmark	1.10		97.5	96.4
DJI	Djibouti	Data not available		Data not available	Data not available
DEU	Germany	-2.60		88.3	90.9
CZE	Czech Republic	-3.40		74.8	78.2
CYP	Cyprus	-3.10		74.4	77.5
CUB	Cuba	4.80		39.7	34.9
CRI	Costa Rica	0.60		66.3	65.7
COL	Colombia	0.10		58.2	58.1
COG	Congo, Republic of the	Data not available		Data not available	Data not available
COD	Congo, Democratic Republic of the	Data not available		Data not available	Data not available
CMR	Cameroon	Data not available		Data not available	Data not available
CIV	Cote d'Ivoire	Data not available		Data not available	Data not available
CHN	China	-3.72		Data not available	Data not available
CHL	Chile	Data not available		Data not available	Data not available
CHE	Switzerland	-6.00		86.4	92.4
CAN	Canada	-1.00		Data not available	Data not available
CAF	Central African Republic	Data not available		Data not available	Data not available
BWA	Botswana	-6.70		33.8	40.5
BTN	Bhutan	Data not available		Data not available	Data not available
BRN	Brunei Darussalam	-20.70		54.3	75.0
BRA	Brazil	-1.60		57.6	59.2
BOL	Bolivia	-4.90		32.2	37.1
BLZ	Belize	Data not available		Data not available	Data not available
BLR	Belarus	-0.50		70.9	71.4
BIH	Bosnia and Herzegovina	Data not available		Data not available	Data not available
BHS	Bahamas, The	Data not available		Data not available	Data not available
BGR	Bulgaria	-1.40		59.1	60.5
BGD	Bangladesh	-3.10		5.1	8.2
BFA	Burkina Faso	-11		Data not available	Data not available
BEN	Benin	Data not available		Data not available	Data not available
BEL	Belgium	-2.20		85.4	87.6
BDI	Burundi	-0.70		0.7	1.4
AZE	Azerbaijan	-7.00		74.7	81.7
AUT	Austria	-7.30		80.7	88.0
AUS	Australia	0.70		84.9	84.2
ATF	French Southern and Antarctic Lands	Data not available		Data not available	Data not available
ATA	Antarctica	Data not available		Data not available	Data not available
ARM	Armenia	-3.00		57.8	60.8
ARG	Argentina	-1.8		Data not available	Data not available
ARE	United Arab Emirates	0.00		90.6	90.6
ALB	Albania	Data not available		Data not available	Data not available
AGO	Angola	Data not available		Data not available	Data not available
AFG	Afghanistan	Data not available		Data not available	Data not available
ABV	Somaliland	Data not available		Data not available	Data not available
401	Palestine	-12.10	not listed	47.5	59.6
400	Macao, China	-1.60	not listed	80.9	82.5
237	Pitcairn Islands		not listed		
236	Cocos (Keeling) Islands		not listed		
235	Holy See (Vatican City)		not listed		
234	Niue		not listed		
233	Tokelau		not listed		
232	Christmas Island		not listed		
231	Svalbard		not listed		
230	Norfolk Island		not listed		
228	Montserrat		not listed		
227	Saint Pierre and Miquelon		not listed		
226	Saint Barthelemy		not listed		
225	Saint Helena, Ascension, and Tristan da Cunha		not listed		
224	Tuvalu		not listed		
223	Cook Islands		not listed		
222	Nauru		not listed		
221	Anguilla		not listed		
220	Wallis and Futuna		not listed		
219	Dhekelia		not listed		
218	Akrotiri		not listed		
217	Palau		not listed		
216	Turks and Caicos Islands		not listed		
215	British Virgin Islands		not listed		
214	Gibraltar		not listed		
213	Saint Martin		not listed		
212	Monaco		not listed		
211	San Marino		not listed		
210	Liechtenstein		not listed		
209	Northern Mariana Islands		not listed		
208	Faroe Islands		not listed		
207	Saint Kitts and Nevis		not listed		
206	Cayman Islands		not listed		
204	Guernsey		not listed		
203	Marshall Islands		not listed		
202	American Samoa		not listed		
201	Bermuda		not listed		
199	Isle of Man		not listed		
198	Andorra		not listed		
197	Antigua and Barbuda		not listed		
196	Seychelles		not listed		
195	Jersey		not listed		
194	Kiribati		not listed		
193	Saint Vincent and the Grenadines		not listed		
192	Aruba		not listed		
191	Micronesia, Federated States of		not listed		
190	Grenada		not listed		
189	Virgin Islands		not listed		
188	Tonga		not listed		
187	Saint Lucia		not listed		
186	Sao Tome and Principe		not listed		
185	Samoa		not listed		
183	Netherlands Antilles		not listed		
181	Mayotte		not listed		
180	Barbados		not listed		
179	French Polynesia		not listed		
174	Maldives		not listed		
173	Malta	-0.20	not listed		
169	Cape Verde		not listed		
168	Macau		not listed		
163	Bahrain	1.50	not listed		
160	Comoros		not listed		
153	Mauritius	-9.00	not listed		
149	Gaza Strip		not listed		
