,Fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,Fixed-broadband subscriptions per 100 inhabitants,,,,,,,,,,,,,,,,,,Metadata for fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,6'651,165'469,384'672,629'076,843'552,998'035,1'124'723,1'256'796,1'331'746,1'421'552,1'480'889,1'614'541,1'640'921,,,,,,0.09,2.15,5.05,8.32,11.24,13.40,15.22,17.14,18.30,19.68,20.66,22.70,23.25,,,,,,,,,,,,,Communications Regulation Commission.,,Communications Regulation Commission.,Information provided by 90% of total licensed ISPs and with speed above 144 kbps.,Communications Regulation Commission.,"Speeds equal to or greater than 144 kbps. Information provided by 80% of all ISPs. From this year: excl. RLANs, WiMAX, mobile and satellite subscriptions.",Communications Regulation Commission,"From 93% of all ISPs, with speeds equal to or greater than 144 kbit/s. ",Communications Regulation Commission,Speeds equal to or greater than 144 kbit/s.,Communications Regulation Commission,Speeds equal to or greater than 144 kbit/s.,Communications Regulation Commission,Information provided by 89.1% of all ISPs,Communications Regulation Commission,Information provided by 92.4% of all ISPs,Communications Regulation Commission,"Information provided by 85,4% of all ISPs",Communications Regulation Commission,"Information provided by 92,3% of all ISPs",Communications Regulation Commission,preliminary data,Communications Regulation Commission
Burkina Faso,,,50,145,154,384,1'715,6'732,10'266,11'947,13'705,14'063,14'328,12'962,5'381,7'210,8'650,,,,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.08,0.09,0.09,0.09,0.08,0.03,0.04,0.05,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),,Autorité de Régulation des Communications Électroniques et des Postes (ARCEP),,ITU estimate.
Burundi,,,,,,,,,160,160,352,497,702,1'534,1'700,3'639,3'945,,,,,,,,,,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.03,0.04,,,,,,,,,,,,,,,,,,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications.,,Agence de Régulation et de Contrôle des Télécommunications ,,Agence de Régulation et de Contrôle des Télécommunications ,,Agence de Régulation et de Contrôle des Télécommunications ,,Agence de Régulation et de Contrôle des Télécommunications ,,ITU estimate.,,Agence de Régulation et de Contrôle des Télécommunications ,Agence de Régulation et de Contrôle des Télécommunications,Agence de Régulation et de Contrôle des Télécommunications 
Cambodia,,,50,419,780,1'000,2'900,8'450,16'594,30'000,35'666,22'000,29'734,32'648,66'111,83'504,96'706,,,,0.00,0.00,0.01,0.01,0.02,0.06,0.12,0.21,0.25,0.15,0.20,0.22,0.43,0.53,0.61,,,,,,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,ITU estimate.,,ITU estimate.,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,Ministry of Post and Telecommunications (MPTC).,,ITU estimate.,,Ministry of Posts and Telecommunications,,Ministry of Posts and Telecommunications,,Ministry of Posts and Telecommunications,,Ministry of Posts and Telecommunications,,Telecommunication Regulator of Cambodia (TRC),,Telecommunication Regulator of Cambodia (TRC),,Telecommunication Regulator of Cambodia (TRC)
Cameroon,,,,,,202,421,640,860,900,5'954,10'713,13'846,16'900,16'248,16'000,45'974,,,,,,,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.06,0.08,0.07,0.07,0.19,,,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,Ministère des Postes et Télécommunications. Agence de Régulation des Télécommunications.,,Agence de Régulation des Télécommunications,,Agence de Régulation des Télécommunications,,Agence de Régulation des Télécommunications,,Agence de Régulation des Télécommunications,,Agence de Régulation des Télécommunications,,ITU estimate.,"adsl, fttx and LS",Agence de Régulation des Télécommunications
Canada,1'410'932,2'836'000,3'515'000,4'513'000,5'416'000,7'004'000,8'044'000,9'075'322,9'842'303,10'290'000,10'817'103,11'282'579,11'689'914,12'094'461,12'568'000,13'030'000,13'500'000,5,4.60,9.15,11.24,14.29,16.97,21.72,24.67,27.51,29.49,30.49,31.70,32.72,33.56,34.38,35.38,36.32,37.27,,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,,Statistics Canada.,Retail subscribers with speeds at or above 128 kbps.,Statistics Canada.,Retail subscribers with speeds at or above 128 kbps.,Statistics Canada.,Retail subscribers with speeds at or above 128 kbps.,Canadian Radio-television Telecommunications Commission,Retail subscribers with speeds at or above 128 kbps.,Statistics Canada.,,Canadian Radio-television and Telecommunications Commission,,Canadian Radio-television and Telecommunications Commission,,Canadian Radio-television and Telecommunications Commission,CRTC,Canadian Radio-television and Telecommunications Commission,,Canadian Radio-television and Telecommunications Commission,,Canadian Radio-television and Telecommunications Commission,,Canadian Radio-television and Telecommunications Commission,,Canadian Radio-television and Telecommunications Commission
Cape Verde,,,,,283,937,1'814,3'833,7'380,10'972,16'071,21'332,19'853,21'202,19'076,16'568,15'541,,,,,,0.06,0.20,0.38,0.79,1.52,2.26,3.30,4.35,4.02,4.25,3.79,3.26,3.03,,,,,,,,,,,ITU research based on ANAC website.,,ITU research based on ANAC website.,,ITU research based on ANAC website.,,ITU research based on ANAC website.,,ITU research based on ANAC website.,,ITU research based on ANAC website.,,Agencia Nacional das Comunicaçoes,,Agencia Nacional das Comunicaçoes,,Agencia Nacional das Comunicaçoes,,ANAC,,Agencia Nacional das Comunicaçoes,,Agencia Nacional das Comunicaçoes,,Agência Nacional das Comunicações - ANAC
Cayman Islands,,,,,,,,,17'530,18'295,18'852,18'816,19'325,20'335,23'469,27'383,24'535,,,,,,,,,,33.13,33.71,33.96,33.24,33.57,34.80,39.63,45.66,40.44,,,,,,,,,,,,,,,,,,Incl. fixed wireless.,Information and Communications Technology Authority ,Incl. fixed wireless.,Information and Communications Technology Authority ,Incl. fixed wireless.,Information and Communications Technology Authority ,Incl. fixed wireless.,Information and Communications Technology Authority ,Incl. fixed wireless.,Information and Communications Technology Authority ,Incl. fixed wireless.,Information and Communications Technology Authority ,Incl. fixed wireless.,Information and Communications Technology Authority ,,Information and Communications Technology Authority ,,Utility Regulation and Competition Office 
Central African Rep.,,,,,,,,,,,,810,605,,,900,1'000,,,,,,,,,,,,,0.02,0.01,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.
Chad,,,,,,,,,,297,331,15'799,19'454,14'689,10'131,11'337,10'470,,,,,,,,,,,0.00,0.00,0.13,0.16,0.11,0.08,0.08,0.07,,,,,,,,,,,,,,,,,,,,,Office Tchadien de Régulation des Télécommunications.,,Office Tchadien de Régulation des Télécommunications,,Office Tchadien de Régulation des Télécommunications,"ADSL, ADSL+, CDMA",Office Tchadien de Régulation des Télécommunications,"ADSL, ADSL+, CDMA",Office Tchadien de Régulation des Télécommunications,"ADSL, ADSL+, CDMA",Autorité de Régulation des Communications Électroniques et des Postes,"ADSL, ADSL+, CDMA",Autorité de Régulation des Communications Électroniques et des Postes,,ITU estimate.
Chile,7'680,66'723,188'454,352'234,478'883,708'564,1'011'646,1'302'310,1'427'178,1'654'676,1'789'355,2'011'244,2'166'330,2'295'169,2'489'717,2'719'439,2'887'000,0,0.05,0.43,1.19,2.20,2.96,4.34,6.13,7.81,8.48,9.74,10.43,11.62,12.40,13.03,14.01,15.17,15.97,,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,,Subsecretaría de Telecomunicaciones (Subtel).,"The concept of broadband is not taken into account, only dedicated connections.",Subsecretaría de Telecomunicaciones (Subtel)., >=256 kbps. Excludes WI-MAX and other wireless technologies.,Subsecretaría de Telecomunicaciones,,Subsecretaría de Telecomunicaciones,,Subsecretaría de Telecomunicaciones,,Subsecretaría de Telecomunicaciones,,Subsecretaría de Telecomunicaciones,,Subsecretaría de Telecomunicaciones,,Subsecretaría de Telecomunicaciones,,ITU estimate.
China,22'660,336'280,3'298'490,11'219'010,24'939'630,37'350'000,50'853'000,66'414'000,82'879'000,103'978'000,126'337'000,156'487'000,175'183'000,188'909'000,200'483'000,277'046'000,322'597'000,0,0.00,0.03,0.25,0.86,1.90,2.83,3.83,4.98,6.17,7.69,9.29,11.44,12.72,13.63,14.38,19.77,22.90,,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Information Industry (MII).,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology,"Excluding satellite broadband users, the ground fixed wireless broadband  
",MIIT.,,Ministry of Industry and Information Technology,,Ministry of Industry and Information Technology
Colombia,8'872,13'830,34'888,64'436,127'113,318'683,628'077,1'207'090,1'772'088,2'114'782,2'643'033,3'348'142,3'938'657,4'537'621,5'028'595,5'525'763,5'912'968,,0.02,0.03,0.08,0.15,0.30,0.74,1.43,2.71,3.92,4.62,5.69,7.11,8.26,9.39,10.28,11.16,11.80,,,,,,,,,,,,,,,,,Ministerio de Tecnologías de la Información y las Comunicaciones,Updated. (corresponds to subs. >= 256 kbit/s).,Ministerio de Tecnologías de Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones,Source: Colombia TIC.,Ministerio de Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de la Información y las Comunicaciones,"Source: Colombia TIC.
",Ministerio de Tecnologías de la Información y las Comunicaciones,Source: Colombia TIC,Ministerio de Tecnologías de la Información y las Comunicaciones
Comoros,,,,,1,4,,82,110,66,329,400,1'233,1'300,1'583,2'000,2'838,0.022236713,,,,,0.00,0.00,,0.01,0.02,0.01,0.05,0.06,0.17,0.18,0.21,0.26,0.36,,,,,,,,,,,,,,,,Includes DSL subscriptions below 256kbps.,Comores Telecom.,Includes DSL subscriptions below 256kbps.,Comores Telecom.,,Comores Telecom.,,Autorité Nationale de Régulation des TIC,,Autorité Nationale de Régulation des TIC,,Autorité Nationale de Régulation des TIC,,ITU estimate.,,Autorité Nationale de Régulation des TIC,,ITU estimate.,,Autorité Nationale de Régulation des TIC
Congo (Dem. Rep.),,,,,,,,,,,0,,,450,500,1'000,1'000,,,,,,,,,,,,0.00,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,ITU estimate.,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,Autorité de Régulation de la Poste et des Télécommunications
Congo (Rep.),,,,,,,,,,125,250,1'311,1'392,438,500,,,,,,,,,,,,,0.00,0.01,0.03,0.03,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,Agence de Régulation des Postes et des Communications Electroniques,,Agence de Régulation des Postes et des Communications Electroniques,June. ,Agence de Régulation des Postes et des Communications Electroniques,,Agence de Régulation des Postes et des Communications Electroniques,estimation,Agence de Régulation des Postes et des Communications Electroniques,,ITU estimate.,,,,
Cook Islands,,,,32,40,54,364,862,1'220,1'466,1'675,2'199,2'340,2'700,,,,,,,,0.17,0.21,0.28,1.85,4.34,6.10,7.27,8.26,10.77,11.40,13.09,,,,,,,,,,,,,,,,,,,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,Telecom Cook Islands Ltd.,,,,,,
Costa Rica,,,8'989,14'878,27'931,44'914,83'327,95'000,109'939,182'654,396'262,419'782,448'594,484'883,515'859,558'656,587'000,,,,0.22,0.36,0.66,1.04,1.90,2.13,2.43,3.97,8.49,8.86,9.34,9.95,10.45,11.17,11.59,,,,,,,,,,,,,,,,,ICE-Telecomunicaciones,,Instituto Costarricense de Electricidad (ICE).,,ICE-Telecomunicaciones,,Superintendencia de Telecomunicaciones,,Superintendencia de Telecomunicaciones,,Superintendencia de Telecomunicaciones,,Superintendencia de Telecomunicaciones,,Superintendencia de Telecomunicaciones,,Superintendencia de Telecomunicaciones,,ITU estimate.
Côte d'Ivoire,,,,413,826,1'239,10'000,10'000,10'000,10'000,,,46'167,56'281,126'857,109'707,136'380,,,,,0.00,0.00,0.01,0.06,0.06,0.05,0.05,,,0.23,0.28,0.61,0.52,0.63,,,,,,,,,ITU estimate.,,Agence des Télécommunications de Côte d'Ivoire.,,ITU estimate.,,Agence des Télécommunications de Côte d'Ivoire.,,Agence des Télécommunications de Côte d'Ivoire (ATCI).,,Agence des Télécommunications de Côte d'Ivoire (ATCI).,,ITU estimate.,,,,,,Autorité de Régulation des Télécommunications/TIC,,Autorité de Régulation des Télécommunications/TIC,,Autorité de Régulation des Télécommunications/TIC,,Autorité de Régulation des Télécommunications/TIC,,ARTCI
Croatia,,,,3'400,26'200,116'200,251'800,387'050,527'989,717'354,837'862,892'835,919'222,954'720,984'485,986'215,1'043'795,,,,,0.08,0.60,2.65,5.75,8.86,12.11,16.49,19.31,20.65,21.34,22.26,23.04,23.18,24.62,,,,,,,,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM).,,Croatian Post and Electronic Communications Agency (HAKOM),,Croatian Post and Electronic Communications Agency (HAKOM),,Croatian Post and Electronic Communications Agency (HAKOM),,Croatian Post and Electronic Communications Agency (HAKOM),,Croatian Regulatory Authority for Network Industries,,Croatian Regulatory Authority for Network Industries,,Croatian Regulatory Authority for Network Industries
Cuba,,,,,,,,1'946,2'246,2'883,3'706,4'421,5'013,5'360,7'793,8'157,14'428,,,,,,,,,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.13,,,,,,,,,,,,,,,,,ITU estimate.,,Ministerio de la Informática y las Comunicaciones,,Ministerio de la Informática y las Comunicaciones,,Ministerio de la Informática y las Comunicaciones,,Ministerio de la Informática y las Comunicaciones,,Ministerio de la Informática y las Comunicaciones,,Ministerio de Comunicaciones,,Ministerio de Comunicaciones,,Ministerio de Comunicaciones,, Ministerio de Comunicaciones 
Cyprus,,2'500,5'879,10'033,17'070,31'856,63'084,97'613,147'276,176'024,194'455,212'149,220'580,229'195,243'611,260'640,278'483,,,0.26,0.60,1.01,1.68,3.09,6.02,9.18,18.74,21.81,23.49,24.99,25.53,26.59,28.55,30.91,33.03,,,,,Cyprus Telecommunications Authority (CYTA).,,Cyprus Telecommunications Authority (CYTA).,,Cyprus Telecommunications Authority (CYTA).,,Cyprus Telecommunications Authority (CYTA).,,Cyprus Telecommunications Authority (CYTA).,,Cyprus Telecommunications Authority (CYTA).,,Office of the Commissioner for Electronic Communications and Postal Regulation.,,Office of the Commissioner for Electronic Communications and Postal Regulation.,,Office of the Commissioner for Electronic Communications and Postal Regulation.,,Office of the Commissioner for Electronic Communications and Postal Regulation ,,Office of the Commissioner for Electronic Communications and Postal Regulation ,,Office of the Commissioner for Electronic Communications and Postal Regulation ,,Office of the Commissioner for Electronic Communications and Postal Regulation ,,Office of the Commissioner for Electronic Communications and Postal Regulation ,,Office of the Commissioner for Electronic Communications and Postal Regulation ,,Office of the Commissioner for Electronic Communications and Postal Regulation 
Czech Republic,2'500,6'200,15'300,34'690,235'996,709'063,1'112'500,1'496'720,1'759'586,2'036'110,2'261'179,2'509'100,2'656'980,2'856'168,2'994'818,2'946'626,2'989'559,0,0.02,0.06,0.15,0.34,2.31,6.93,10.83,14.48,16.90,19.42,21.43,23.65,24.92,26.69,27.88,27.34,27.65,,,Ministry of Economy. Czech Telecommunication Office.,,Ministry of Economy. Czech Telecommunication Office.,,Ministry of Economy. Czech Telecommunication Office.,,Ministry of Economy. Czech Telecommunication Office.,"Broadband Internet subscriptions via DSL, CATV, FWA and other technologies are included.",Ministry of Economy. Czech Telecommunication Office.,,Market analysis.,,Ministry of Economy. Czech Telecommunication Office.,Break in comparability: from this year excluding fixed wireless broadband.,ITU estimate.,,ITU estimate.,,Czech Telecommunication Office,,Czech Telecommunication Office,,Czech Telecommunication Office,,Czech Telecommunication Office,,Czech Telecommunication Office,Incl. WiFi subscriptions (not WiFi hotspots). ,Czech Telecommunication Office,Incl. WiFi subscriptions (not WiFi hotspots). Estimates,Czech Telecommunication Office,Incl. WIFI subscriptions (not WIFI hotspots).  The figure for 2016 is based on provisional data and therefore represents an estimate.,Czech Telecommunication Office
D.P.R. Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,67'000,238'000,451'297,718'299,1'017'594,1'343'855,1'735'317,1'903'541,2'005'681,2'022'709,2'112'406,2'143'247,2'179'545,2'272'401,2'341'759,2'404'962,2'430'002,1.255085202,1.26,4.44,8.41,13.34,18.85,24.80,31.89,34.82,36.49,36.61,38.05,38.44,38.94,40.44,41.52,42.48,42.75,,,National IT and Telecom Agency.,,National IT and Telecom Agency.,,National IT and Telecom Agency.,,National IT and Telecom Agency.,,National IT and Telecom Agency.,,National IT and Telecom Agency.,,OECD.,,National IT and Telecommunications Agency Denmark,,National IT- and Telecom Agency NITA,,National IT- and Telecom Agency NITA,,Danish Business Authority,,Danish Business Authority,,Danish Business Authority,Incl. 144 kbit/s to less than 256 kbit/s. Excl. subscriptions with unspecified download capacity.,Danish Energy Agency,Incl. 144 kbit/s to less than 256 kbit/s. Excl. subscriptions with unspecified download capacity.,Danish Energy Agency,Incl. 144 kbit/s to less than 256 kbit/s. Excl. subscriptions with unspecified download capacity.,Danish Energy Agency,Incl. 144 kbit/s to less than 256 kbit/s. Excl. subscriptions with unspecified download capacity.,Danish Energy Agency
Djibouti,4,5,6,,,42,152,1'092,2'451,5'285,8'058,11'302,14'907,17'705,20'102,24'165,27'000,0,0.00,0.00,0.00,,,0.01,0.02,0.14,0.30,0.64,0.97,1.33,1.73,2.03,2.27,2.69,2.96,,,,,,,,,,,,,,Includes ADSL connections at 128kbps. ,ITU estimate. ,Includes ADSL connections at 128kbps. ,"Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",Includes ADSL connections at 128kbps. ,"Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",Includes ADSL connections at 128kbps. ,"Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications.",Includes ADSL connections at 128kbps. ,"Ministère de la Communication et de la Culture, chargé des Postes et des Télécommunications",,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,,Ministère de la Communication et de la Culture chargé des Postes et des Télécommunications,,Ministère de la Communication chargé des Postes et des Télécommunications,,ITU estimate.
Dominica,80,175,2'238,2'651,3'253,3'400,4'300,5'000,7'000,7'300,8'311,8'307,8'500,10'667,10'785,15'159,15'487,0,0.11,0.25,3.21,3.78,4.63,4.82,6.08,7.06,9.88,10.28,11.68,11.63,11.86,14.81,14.91,20.86,21.21,,,,,,,,,,,,,,,ECTEL.,,ECTEL.,,ECTEL.,,ECTEL.,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,National Telecommunications Regulatory Commission,,ECTEL,,ECTEL,,National Telecommunications Regulatory Commission
Dominican Rep.,,,,15'000,37'257,60'674,102'880,173'752,239'118,315'593,390'505,423'919,483'625,526'705,599'996,686'107,697'479,,,,,0.17,0.40,0.65,1.09,1.81,2.45,3.19,3.90,4.18,4.71,5.06,5.70,6.44,6.47,,,,,,,,,,,,,,,,,INDOTEL,,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL),,Instituto Dominicano de las Telecomunicaciones (INDOTEL)
Ecuador,,2'623,6'499,6'916,11'620,26'786,46'000,100'000,155'998,241'233,221'320,658'923,843'704,1'058'453,1'319'627,1'580'460,1'603'738,,,0.02,0.05,0.05,0.09,0.19,0.33,0.70,1.07,1.63,1.48,4.32,5.45,6.73,8.26,9.74,9.74,,,,,,,,,,,,,,,ITU estimate.,,ITU estimate.,All speeds considered.,SENATEL.,All speeds considered.,SENATEL.,Break in comparability: as of 2010 >=256 kbits/s.,Secretaría Nacional de Telecomunicaciones (SENATEL),,Secretaría Nacional de Telecomunicaciones (SENATEL),,ITU estimate.,,Secretaría Nacional de Telecomunicaciones (SENATEL),Estimate.,Agencia de Regulación y Control de las Telecomunicaciones,Información actualizada,Agencia de Regulación y Control de las Telecomunicaciones,,Agencia de Regulación y Control de las Telecomunicaciones
Egypt,,,50'937,54'850,79'217,140'999,258'526,477'432,769'744,1'077'489,1'451'628,1'845'249,2'288'773,2'676'263,3'067'878,3'826'410,4'469'164,,,,0.07,0.08,0.11,0.20,0.35,0.64,1.02,1.40,1.86,2.32,2.84,3.26,3.68,4.52,5.20,,,,,,,MCIT.,,MCIT.,,MCIT.,,MCIT.,,MCIT.,,Ministry of Communications and Information Technology.,,Ministry of Communications and Information Technology.,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology
El Salvador,,,,19'601,29'321,42'314,61'484,89'761,123'469,149'406,175'274,206'000,242'100,284'428,318'915,353'001,388'512,,,,,0.33,0.48,0.70,1.01,1.47,2.01,2.42,2.82,3.29,3.84,4.49,5.00,5.49,6.01,,,,,,,,,,,,Incl. a small part of ISDN (i.e. narrowband).,Superintendencia General de Electricidad y Telecomunicaciones,Incl. a small part of ISDN (i.e. narrowband).,Superintendencia General de Electricidad y Telecomunicaciones,Incl. a small part of ISDN (i.e. narrowband).,Superintendencia General de Electricidad y Telecomunicaciones,Incl. a small part of ISDN (i.e. narrowband).,Superintendencia General de Electricidad y Telecomunicaciones,Incl. a small part of ISDN (i.e. narrowband).,Superintendencia General de Electricidad y Telecomunicaciones,Estimate based on June 2010 data. Incl. a small part of ISDN (i.e. narrowband).,Superintendencia General de Electricidad y Telecomunicaciones,,ITU estimate.,,ITU estimate.,,Superintendencia General de Electricidad y Telecomunicaciones,,Superintendencia General de Electricidad y Telecomunicaciones,,Superintendencia General de Electricidad y Telecomunicaciones,Datos hasta el 30 de Septiembre 2016,Superintendencia General de Electricidad y Telecomunicaciones
Equatorial Guinea,,,,,,180,180,180,180,180,1'186,1'346,1'480,3'518,3'881,3'799,4'000,,,,,,,0.03,0.03,0.03,0.03,0.03,0.17,0.19,0.20,0.46,0.50,0.48,0.49,,,,,,,,,,,,,,,ITU estimate. ,,ITU estimate. ,,ITU estimate. ,,ITU estimate.,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,,Orange-GETESA,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,,La Société Anonyme de Télécommunications de la République de Guinée Equatoriale,,ITU estimate.
Eritrea,,,,,,,,,44,70,118,141,185,146,200,500,600,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,,,,,,,,,,,,,,,,,,,EriTel,,EriTel,,EriTel,,EriTel,,EriTel,,EriTel,,ITU estimate.,,ITU estimate.,,ITU estimate.
Estonia,,17'474,46'500,90'300,138'677,179'200,246'800,264'949,294'660,313'625,347'883,348'946,349'507,360'948,371'009,384'129,396'595,,,1.29,3.45,6.74,10.41,13.52,18.71,20.18,22.53,24.07,26.79,26.96,27.08,28.04,28.90,30.00,31.07,,,,,ITU calculation.,,ITU calculation.,,,,,,,,,,Estonian Competition Authority.,,Estonian Competition Authority. Estonian Competition Auhtority.,,Estonian Competition Auhtority.,,Estonian Competition Authority,,Estonian Competition Authority,,Estonian Competition Authority,,Estonian Competition Authority,,Estonian Technical Regulation Authority ,,Estonian Technical Regulatory Authority,,Estonian Technical Regulatory Authority
Ethiopia,,,,57,35,61,261,1'036,1'496,3'498,4'107,6'353,8'535,238'067,471'285,478'000,559'000,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.25,0.49,0.48,0.55,,,,,,,,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,ITU estimate.,,ITU estimate.,,Ethiopian Telecommunications Corporation (ETC). Ethiopian Telecommunication Agency.,,Ethiopian Telecommunication Agency.,,Ethiopian Telecommunication Agency.,,Ethiopian Telecommunication Agency.,,Ministry of Communication and InformationTechnology.,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology,,Ministry of Communications and Information Technology
Falkland (Malvinas) Is.,,,,,,,319,618,888,1'140,1'174,1'209,1'229,1'296,1'413,2'000,1'610,,,,,,,,10.76,20.75,29.68,37.92,38.91,39.94,40.48,42.58,46.30,65.40,52.56,,,,,,,,,,,,,,,,,Cable & Wireless South Atlantic Plc,,Cable & Wireless,,Cable & Wireless,,Cable & Wireless,,Cable & Wireless,,Cable & Wireless,,Sure,,Sure,,ITU estimate.,,Sure
Faroe Islands,,54,114,394,3'134,5'868,13'128,14'463,14'878,15'882,16'179,16'057,16'324,16'700,17'302,17'867,17'973,,,0.11,0.24,0.82,6.42,11.94,26.57,29.19,30.00,32.02,32.63,32.40,32.97,33.76,34.98,36.10,36.24,,,,,,,,,,,,,,,ITU calculation.,,Postal and Telecom Surveillance Authority.,,Postal and Telecom Surveillance Authority.,,Post and Telecom Surveillance Authority,,Post and Telecom Surveillance Authority,,Post and Telecom Surveillance Authority,,Post and Telecom Surveillance Authority,,ITU estimate.,,Post and Telecom Surveillance Authority,,Post and Telecom Authority,,Post and Telecom Authority
Fiji,,,,,,7'000,8'500,11'500,13'031,12'830,23'250,23'250,13'516,10'927,12'427,12'734,12'332,,,,,,,0.85,1.03,1.38,1.54,1.51,2.70,2.68,1.55,1.24,1.40,1.43,1.37,,,,,,,,,,,,,,,,,ITU estimate.,,"Ministry of Public Enterprises, Communications, Civil Aviation and Tourism",,"Ministry of Public Enterprises, Communications, Civil Aviation and Tourism",,"Ministry of Public Enterprises, Communications, Civil Aviation and Tourism",,"Ministry of Public Enterprises, Communications, Civil Aviation and Tourism",,Ministry of Communications,,Ministry of Communications,,Ministry of Communications,,Ministry of Communications,,Ministry of Communications
