,Fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,Fixed-broadband subscriptions per 100 inhabitants,,,,,,,,,,,,,,,,,,Metadata for fixed-broadband subscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,6,8,10,1'000,1'990,,3'900,13'799,39'888,93'586,160'573,212'053,243'058,272'885,286'319,303'000,,,0.00,0.00,0.00,0.03,0.07,,0.13,0.46,1.34,3.16,5.42,7.14,8.17,9.14,9.58,10.13,,,,,ITU estimate.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,Ministry of Transport and Communications.,,ITU estimate.,,,,ITU estimate.,,Ministry of Transport and Communications,,Ministry of Transport and Communications,,Ministry of Transport and Communications,,ITU estimate,,Ministry of Transport and Communication of Armenia,,Ministry of Transport and Communication of Armenia,,Ministry of Transport and Communication of Armenia,,Ministry of Transport and Communication of Armenia,,ITU estimate.
Aruba,,,,1'399,6'963,12'274,13'953,15'996,18'396,18'800,19'217,,,19'200,19'200,19'000,,,,,,1.44,7.05,12.27,13.84,15.80,18.15,18.54,18.91,,,18.66,18.56,18.29,,,,,,,,,,,,,,,,,,Directorate of Telecommunication Affairs Aruba.,,Directorate of Telecommunication Affairs Aruba.,,ITU estimate.,,Directorate of Telecommunication Affairs Aruba.,,,,,,ITU estimate.,,ITU estimate.,,ITU estimate.,,
Ascension,,,,,57,77,144,280,298,296,342,353,324,,315,,382,,,,,,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cable & Wireless plc. (C&W).,,Cable & Wireless plc. (C&W).,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd,,Cable & Wireless South Atlantic Ltd,,Sure South Atlantic Ltd,,,,Sure South Atlantic Ltd,,,,Sure South Atlantic Ltd
Australia,,122'800,258'100,516'800,1'012'000,2'016'000,3'900'000,,5'315'000,5'221'000,5'510'000,5'552'000,5'735'000,5'981'000,6'536'000,6'828'000,7'374'000,,,0.63,1.31,2.59,5.01,9.82,18.69,,24.56,23.69,24.59,24.41,24.88,25.62,27.66,28.54,30.44,,,,,ACCC.,,ACCC.,,ACCC.,March.,ITU estimate based on ABS Household Use of Information Technology Survey.,March.,ITU estimate based on ABS Household Use of Information Technology Survey.,March.,ITU estimate based on ABS Household Use of Information Technology Survey.,,,"Internet Activity Survey, December.",ABS.,"Internet Activity Survey, December.",ABS.,"Internet Activity Survey, December.",ABS.,"Internet Activity Survey, June.",ABS.,"Internet Activity Survey, June.",ABS.,"Internet Activity Survey, June ",Department of Communications,"Internet Activity Survey, June 2014",ABS,Internet activity survey December 2015,Department of Communications and the Arts,"Source: Australian Bureau of Statistics, 2017, Internet Activity, Australia, December 2016, cat. No. 8153.0 (Table 1), ABS, Canberra; Bureau of Communications and Arts Research Calculations",Department of Communications and the Arts
Austria,190'500,320'600,451'000,601'000,870'000,1'174'000,1'432'000,1'622'000,1'729'000,1'878'524,2'050'400,2'097'700,2'130'200,2'232'500,2'359'000,2'455'500,2'523'300,2,2.38,3.98,5.57,7.38,10.62,14.25,17.30,19.52,20.73,22.44,24.40,24.88,25.17,26.28,27.67,28.69,29.38,,,Federal Ministry for Science and Transport.,,Federal Ministry for Science and Transport.,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR-GmbH).,,OECD.,,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),,Regulatory Authority for Broadcasting and Telecommunications (Rundfunk und Telekom Regulierungs-GmbH; RTR-GmbH),,Rundfunk und Telekom Regulierungs-GmbH,,Rundfunk und Telekom Regulierungs-GmbH,,Rundfunk und Telekom Regulierungs-GmbH,,Austrian Regulatory Authority for Broadcasting and Telecommunications,,Austrian Regulatory Authority for Broadcasting and Telecommunications,,Austrian Regulatory Authority for Broadcasting and Telecommunications,,Austrian Regulatory Authority for Broadcasting and Telecommunications,,Austrian Regulatory Authority for Broadcasting and Telecommunications
Azerbaijan,,,1'000,,,2'184,3'955,14'600,60'000,100'000,475'295,973'869,1'369'594,1'712'177,1'898'070,1'899'456,1'803'662,,,,0.01,,,0.03,0.05,0.17,0.68,1.11,5.23,10.58,14.71,18.19,19.95,19.76,18.58,,,,,,,Ministry of Communications and Information Technologies.,,,,,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies.,,Ministry of Communications and Information Technologies,,Ministry of Communications and Information Technologies (MC&IT),,Ministry of Communications and Information Technologies (MC&IT),,Ministry of Communications and Information Technologies (MC&IT),,Ministry of Communications and High Technologies (MC&HT),,Ministry of Communications and High Technologies (MC&HT),,"Ministry of Transport, Communications and High Technologies (MTC&HT) "
Bahamas,,4'139,7'540,10'941,12'803,13'382,16'591,20'500,25'500,31'589,24'702,15'496,77'930,72'490,77'168,81'018,86'268,,,1.37,2.44,3.47,3.97,4.07,4.94,5.99,7.32,8.91,6.85,4.23,20.95,19.21,20.17,20.91,21.99,,,,,ITU estimate.,,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,"Batelco, Bahamas Telecommunications Corporation.",,ITU estimate.,,ITU estimate.,,Bahamas Telecommunications Company Ltd. (BTC),Decrease due to purging of system of non-active accounts and a reduction in new accounts.,Bahamas Telecommunications Company Ltd.,Decrease due to purging of system of non-active accounts and a reduction in new accounts.,Bahamas Telecommunications Company Ltd.,,Utilities Regulation and Competition Authority,,Utilities Regulation and Competition Authority,Obtained from URCA's Licensees,Utilities Regulation and Competition Authority,,Utilities Regulation and Competition Authority,Annual report2016.,Utilities Regulation and Competition Authority
Bahrain,,1'176,4'980,9'737,14'956,21'432,38'628,68'253,93'618,139'513,154'912,291'521,295'387,300'056,287'572,253'041,232'210,,,0.17,0.68,1.26,1.82,2.44,4.06,6.61,8.39,11.71,12.38,22.55,22.41,22.52,21.39,18.61,16.82,,,,,Bahrain Telecommunications Company.,,Bahrain Telecommunications Company.,,Bahrain Telecommunications Company.,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority (TRA).,"From this year, excluding fixed wireless (WIMAX)",Telecommunications Regulatory Authority (TRA).,,Telecommunications Regulatory Authority ,,Telecommunications Regulatory Authority ,,Telecommunications Regulatory Authority ,,TRA.,,Telecommunications Regulatory Authority ,,Telecommunications Regulatory Authority ,,Telecommunications Regulatory Authority ,,Telecommunications Regulatory Authority ,,Telecommunications Regulatory Authority 
Bangladesh,,,,,,,,43'710,50'000,316'699,414'569,468'500,600'461,1'525'325,3'093'171,4'892'940,6'112'656,,,,,,,,,0.03,0.03,0.21,0.27,0.31,0.39,0.97,1.95,3.05,3.77,,,,,,,,,,,,,,,,,BTRC estimate.,,ITU estimate. ,,Bangladesh Telecommunication Regulatory Commission,,Bangladesh Telecommunication Regulatory Commission,,Bangladesh Telecommunication Regulatory Commission,,Bangladesh Telecommunication Regulatory Commission,,Bangladesh Telecommunication Regulatory Commission,,Bangladesh Telecommunication Regulatory Commission,,Bangladesh Telecommunication Regulatory Commission,"December,2016",Bangladesh Telecommunication Regulatory Commission
Barbados,,,,27'319,29'630,31'942,38'800,47'133,49'216,57'305,56'190,62'634,66'884,67'798,77'730,78'269,86'887,,,,,10.09,10.89,11.68,14.11,17.06,17.73,20.54,20.04,22.23,23.62,23.82,27.17,27.23,30.08,,,,,,,,,Ministry of Energy and Public Utilities.,,ITU estimate.,,Ministry of Energy and Public Utilities.,,ITU estimate.,,"Ministry of Finance, Investment, Telecommunications & Energy",,"Ministry of Finance, Investment, Telecommunications & Energy",,"Ministry of Finance, Investment, Telecommunications & Energy",,Prime Minister's Office Division of Energy & Telecommunications                ,,Division of Energy & Telecommunications                ,,Division of Energy & Telecommunications      ,,Division of Energy & Telecommunications                ,,Division of Energy & Telecommunications                ,,Division of Energy & Telecommunications,,Division of Energy & Telecommunications                
