Country,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Uruguay,URY,,,,,0.81,1.46,3.2,4.94,7.3,9.45,11.37,13.98,17.1,21.63,24.58,26.27,26.79
Uzbekistan,UZB,,,,0.01,0.02,0.03,0.03,0.07,0.24,0.32,0.42,0.52,0.77,1.06,2.8,6.02,9.13
Vanuatu,VUT,,,,0.01,0.01,0.03,0.04,0.06,0.09,0.22,0.21,0.14,0.13,0.12,1.77,1.63,1.63
Venezuela,VEN,0.02,0.15,0.31,0.45,0.8,1.33,1.98,3.1,3.97,4.9,5.76,6.15,6.8,7.35,7.78,8.24,8.23
Viet Nam,VNM,,,0,0.01,0.06,0.25,0.6,1.5,2.35,3.64,4.12,4.27,5.26,5.62,6.48,8.2,9.91
Virgin Islands (US),VIR,,,,,1.37,2.75,,5.54,6.94,8.45,8.55,,,8.53,8.52,8.42,
Wallis and Futuna,WLF,,,,,,,,1.61,4.99,6.42,7.82,8.4,8.81,9.53,10.42,7.6,
Yemen,YEM,,,,,,0.01,0.01,0.05,0.12,0.24,0.37,0.47,0.7,1.05,1.36,1.55,1.65
Zambia,ZMB,0,0,0,0,0,0,0.02,0.03,0.05,0.08,0.08,0.12,0.11,0.09,0.14,0.15,0.2
Zimbabwe,ZWE,,0.01,0.02,0.05,0.07,0.08,0.08,0.12,0.14,0.37,0.25,0.25,0.52,0.73,1.04,1.09,1.1
